name,country,health_fields_eligible,degree_level,grade_requirement,funding_type,work_experience_required,url,notes,last_verified
Fulbright-Nehru Master's Fellowship,USA,Public Health; Healthcare Management (not clinical MD residency),Master's,55% or above in bachelor's from a recognised Indian university,Fully-Funded,3 years for professional track,https://www.usief.org.in/fulbright-fellowships/fellowships-for-indian-citizen/fulbright-nehru-masters-fellowships/,J-1 visa carries a 2-year home-country return requirement,2026-09
Chevening Scholarship,UK,Medicine; Public Health; Nursing (any field),Master's,Upper second-class (2:1) or above,Fully-Funded,2 years leadership/work experience typically expected,https://www.chevening.org/,Requires admission offer from a UK university in parallel,2026-09
Commonwealth Scholarship (Shared/Distance Learning),UK,Public Health; Development-related medical fields,Master's,Upper second-class (2:1) or above,Fully-Funded,Not mandatory but strengthens application,https://cscuk.fcdo.gov.uk/,Focused on development-relevant study; check field list each cycle,2026-09
DAAD EPOS (Development-Related Postgraduate Courses),Germany,Public Health; Global Health programmes,Master's,Good academic record; degree not older than 6 years,Fully-Funded,2 years professional experience required,https://www.daad.de/en/,Monthly stipend approx EUR 992 (Master's) per DAAD 2026 figures,2026-09
Erasmus Mundus Joint Master Degree (Global Health tracks),Europe,Public Health; Global Health (consortium-dependent),Master's,Good bachelor's degree; consortium-specific cut-off,Fully-Funded,Varies by consortium,https://education.ec.europa.eu/education-levels/higher-education/erasmus-mundus,Only some consortia offer health/public-health tracks; verify per intake,2026-09
Australia Awards Scholarship,Australia,Public Health; Health Systems (priority sector),Master's,Good academic record,Fully-Funded,Relevant sector experience preferred,https://www.australiaawards.gov.au/,Health is listed as a priority development sector for India,2026-09
Knight-Hennessy Scholars (Stanford),USA,MD; Public Health; Biosciences,PhD / MD / Master's,Outstanding academic and leadership record,Fully-Funded,Not mandatory,https://knight-hennessy.stanford.edu/,Covers Stanford MD program directly; extremely selective (~1% admit),2026-09
Global Korea Scholarship (GKS),South Korea,Medicine; Nursing; Public Health,Master's,GPA 80/100 or top 20% of class,Fully-Funded,Not mandatory,https://www.studyinkorea.go.kr/,Embassy and university tracks both available,2026-09
National Overseas Scholarship (Govt of India - MoSJE),Any (student's choice),Any field including Medicine (subject to category eligibility),Master's / PhD,Category-based eligibility (SC/ST/OBC/de-notified/minority criteria apply),Fully-Funded,Not mandatory,https://www.education.gov.in/,Income and category ceilings apply; cannot combine with Fulbright-Nehru,2026-09
MEXT Scholarship,Japan,Medicine; Nursing; Public Health,Master's / PhD,GPA equivalent to 2.30/3.00 or higher,Fully-Funded,Not mandatory,https://www.studyinjapan.go.jp/en/planning/scholarships/,Embassy or university-recommended routes,2026-09
Gates Cambridge Scholarship,UK,Clinical/Biomedical Research (postgraduate research; not residency),PhD / Master's,Outstanding first-class academic record,Fully-Funded,Not mandatory,https://www.gatescambridge.org/,Research-focused; not a route to clinical MD training,2026-09
Islamic Development Bank Merit Scholarship,Multiple,Medicine; Health Sciences (priority field),Master's,Strong academic record; OIC member country nationals,Fully-Funded,Not mandatory,https://www.isdb.org/scholarships,Priority given to science and technology fields including health,2026-09
